Niveau_Education,n_individus,revenu_median,revenu_moyen,revenu_std,taux_exclusion_financiere,taux_bancarise,taux_cin,taux_tontine,taux_mobile_money,taux_epargne_formelle,taux_credit_informel,taux_manque_argent,taux_telephone,taux_nif,taux_compte_bancaire,taux_planif_jamais
Non scolarisé,906,2093.0,3068.3267,3012.7902,0.596,0.0872,0.5166,0.4172,0.0883,0.0949,0.0695,0.6468,0.5607,0.2428,0.0872,0.3311
Primaire,1076,2315.5,3176.3002,2885.4594,0.552,0.1041,0.6589,0.382,0.0929,0.1013,0.0743,0.6524,0.5688,0.289,0.1041,0.3541
Secondaire,1777,3173.0,3969.9319,3736.3981,0.4187,0.1784,0.7107,0.4176,0.1491,0.1469,0.0664,0.614,0.6494,0.2819,0.1784,0.3523
Supérieur/Professionnel,257,3380.0,4526.0545,4325.7666,0.2257,0.3268,0.7043,0.3813,0.144,0.2257,0.0739,0.6342,0.6809,0.4436,0.3268,0.1323
