Secteur_Activite,n_individus,revenu_median,revenu_moyen,revenu_std,taux_exclusion_financiere,taux_bancarise,taux_cin,taux_tontine,taux_mobile_money,taux_epargne_formelle,taux_credit_informel,taux_manque_argent,taux_telephone,taux_nif,taux_compte_bancaire,taux_planif_jamais
Emploi salarié formel,307,11207.0,11205.43,5109.1486,0.114,0.4202,0.7166,0.3257,0.1824,0.316,0.0782,0.4365,0.7362,0.6221,0.4202,0.316
Services/Transport,529,5215.0,5319.741,2848.4146,0.4972,0.1531,0.6824,0.3762,0.1418,0.1399,0.0586,0.5293,0.673,0.2552,0.1531,0.3195
Commerce informel,1026,4151.0,4028.2251,2130.1129,0.4074,0.1608,0.6686,0.4903,0.1228,0.1365,0.075,0.6131,0.6101,0.2573,0.1608,0.3226
Artisanat/Production,439,3380.0,3391.3736,1837.0854,0.5262,0.1185,0.6674,0.3235,0.1093,0.1071,0.0683,0.6515,0.6287,0.287,0.1185,0.3394
Agriculture/Élevage,1116,1592.0,1875.0887,1041.8573,0.5986,0.0905,0.5941,0.4014,0.0932,0.0842,0.069,0.6846,0.5215,0.2491,0.0905,0.3602
Sans activité/Ménage,599,631.0,745.8881,733.8774,0.5359,0.1068,0.6644,0.3957,0.1219,0.1035,0.0684,0.7496,0.6394,0.2538,0.1068,0.3222
