Milieu,n_individus,revenu_median,revenu_moyen,revenu_std,taux_exclusion_financiere,taux_bancarise,taux_cin,taux_tontine,taux_mobile_money,taux_epargne_formelle,taux_credit_informel,taux_manque_argent,taux_telephone,taux_nif,taux_compte_bancaire,taux_planif_jamais
Rural,1176,1540.0,2291.8129,1940.7746,0.5697,0.0927,0.5451,0.4082,0.0587,0.0825,0.0697,0.6845,0.3614,0.2551,0.0927,0.3988
Urbain,2840,3380.0,4126.8296,3773.9816,0.4458,0.1701,0.6972,0.4046,0.1454,0.1468,0.0697,0.6116,0.7127,0.2979,0.1701,0.307
